项目,结果,学年,学期,学位,国家,分数制,GPA
CS37@USC,Admit,2024,Fall,Master,美国,4.0,3.89
CS37@USC,Admit,2024,Spring,Master,美国,4.0,3.92
CS37@USC,Admit,2024,Spring,Master,美国,100,87.5
CS37@USC,默拒,2023,Fall,Master,美国,4.0,3.87
CS37@USC,Admit,2023,Fall,Master,美国,5.0,4.55
CS37@USC,Admit,2023,Fall,Master,美国,4.0,3.5
CS37@USC,Admit,2023,Fall,Master,美国,4.0,3.98
CS37@USC,Admit,2023,Fall,Master,美国,4.3,3.96
CS37@USC,Admit,2023,Fall,Master,美国,100,88.0
CS37@USC,Admit,2023,Fall,Master,美国,4.0,3.83
CS37@USC,Admit,2023,Fall,Master,美国,4.0,3.7
CS37@USC,Admit,2023,Fall,Master,美国,100,87.0
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.75
CS75@UCSD,Reject,2024,Fall,Master,美国,4.3,3.7
CS75@UCSD,Reject,2024,Fall,Master,美国,100,90.5
CS75@UCSD,Admit,2024,Fall,Master,美国,100,91.7
CS75@UCSD,Reject,2024,Fall,Master,美国,100,94.25
CS75@UCSD,Reject,2024,Fall,Master,美国,100,85.14
CS75@UCSD,Reject,2024,Fall,Master,美国,4.3,3.7
CS75@UCSD,Reject,2024,Fall,Master,美国,100,89.1
CS75@UCSD,Reject,2024,Fall,Master,美国,100,90.1
CS75@UCSD,Reject,2024,Fall,Master,美国,4.0,3.81
CS75@UCSD,Reject,2024,Fall,Master,美国,4.0,3.94
CS75@UCSD,Reject,2024,Fall,Master,美国,100,91.11
CS75@UCSD,默拒,2024,Fall,Master,美国,100,90.28
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.7
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.87
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.83
CS75@UCSD,Admit,2024,Fall,Master,美国,100,92.0
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.97
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.97
CS75@UCSD,Admit,2024,Fall,Master,美国,4.3,4.05
CS75@UCSD,Admit,2024,Fall,Master,美国,100,91.82
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.92
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.88
CS75@UCSD,Admit,2024,Fall,Master,美国,100,90.7
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.93
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.77
CS75@UCSD,Admit,2024,Fall,Master,美国,100,91.0
CS75@UCSD,Admit,2024,Fall,Master,美国,100,90.5
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.98
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.92
CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.89
CS75@UCSD,默拒,2024,Fall,Master,美国,100,91.08
CS75@UCSD,Reject,2023,Fall,Master,美国,5.0,4.43
CS75@UCSD,Reject,2023,Fall,Master,美国,4.3,4.1
CS75@UCSD,Reject,2023,Fall,Master,美国,100,90.9
CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.48
CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.92
CS75@UCSD,Reject,2023,Fall,Master,美国,100,86.74
CS75@UCSD,Reject,2023,Fall,Master,美国,100,92.3
CS75@UCSD,Reject,2023,Fall,Master,美国,5.0,4.55
CS75@UCSD,Reject,2023,Fall,Master,美国,4.3,3.94
CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.95
CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.5
CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.86
CS75@UCSD,Reject,2023,Fall,Master,美国,100,90.52
CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.8
CS75@UCSD,Reject,2023,Fall,Master,美国,4.3,3.55
CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.85
CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.74
CS75@UCSD,Reject,2023,Fall,Master,美国,100,91.61
CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.9
CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.69
CS75@UCSD,Admit,2023,Fall,Master,美国,100,90.3
CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.8
CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.84
CS75@UCSD,Admit,2023,Fall,Master,美国,100,89.61
CS75@UCSD,Admit,2023,Fall,Master,美国,100,94.48
CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.96
CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.95
CS75@UCSD,Admit,2023,Fall,Master,美国,100,84.0
CS75@UCSD,Admit,2023,Fall,Master,美国,4.3,4.09
CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,4.0
CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.9
CS75@UCSD,Admit,2023,Fall,Master,美国,100,88.0
CS75@UCSD,Admit,2023,Fall,Master,美国,5.0,4.57
CS75@UCSD,Admit,2023,Fall,Master,美国,100,86.5
CS75@UCSD,Admit,2023,Fall,Master,美国,5.0,4.41
CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.91
CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.92
CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.97
CS75@UCSD,Reject,2023,Fall,Master,美国,100,87.0
CS75@UCSD,Reject,2022,Fall,Master,美国,100,90.11
CS75@UCSD,Reject,2022,Fall,Master,美国,100,88.42
CS75@UCSD,Reject,2022,Fall,Master,美国,100,89.28
CS76@UCSD,Reject,2023,Fall,Master,美国,4.0,3.83
CS76@UCSD,Reject,2023,Fall,Master,美国,4.0,3.92
CS76@UCSD,Reject,2023,Fall,Master,美国,4.0,3.33
CS76@UCSD,Reject,2023,Fall,Master,美国,4.0,3.75
CSE@GaTech,Reject,2024,Fall,Master,美国,5.0,4.33
CSE@GaTech,Reject,2024,Fall,Master,美国,4.0,3.96
CSE@GaTech,Reject,2024,Fall,Master,美国,4.0,3.94
CSE@GaTech,Admit,2024,Fall,Master,美国,100,94.25
CSE@GaTech,Reject,2024,Fall,Master,美国,100,85.14
CSE@GaTech,Reject,2024,Fall,Master,美国,100,90.6
CSE@GaTech,Reject,2024,Fall,Master,美国,4.0,3.82
CSE@GaTech,Reject,2024,Fall,Master,美国,4.0,3.92
CSE@GaTech,Admit,2024,Fall,Master,美国,100,87.0
CSE@GaTech,Admit,2024,Fall,Master,美国,4.0,3.81
CSE@GaTech,Admit,2023,Fall,Master,美国,100,86.74
CSE@GaTech,Reject,2023,Fall,Master,美国,4.0,3.85
CSE@GaTech,Reject,2023,Fall,Master,美国,4.0,3.83
CSE@GaTech,Admit,2023,Fall,Master,美国,100,86.5
CSE@GaTech,Reject,2023,Fall,Master,美国,4.3,3.55
CSE@GaTech,Reject,2023,Fall,Master,美国,100,88.0
CSE@GaTech,Reject,2023,Fall,Master,美国,4.0,3.5
CSE@GaTech,Reject,2023,Fall,Master,美国,4.0,3.92
CSE@GaTech,Reject,2023,Fall,Master,美国,5.0,4.55
CSE@GaTech,Admit,2023,Fall,Master,美国,4.0,3.3
CSE@GaTech,Admit,2023,Fall,Master,美国,4.3,3.75
CSE@GaTech,Admit,2023,Fall,Master,美国,4.3,3.83
CSE@GaTech,Admit,2023,Fall,Master,美国,4.0,3.8
CSE@GaTech,Admit,2023,Fall,Master,美国,4.3,3.75
CSE@GaTech,Reject,2023,Fall,Master,美国,100,87.0
CSE@GaTech,Reject,2022,Fall,Master,美国,100,90.11
CSE@GaTech,Reject,2022,Fall,Master,美国,100,88.42
CSE@Harvard,Reject,2024,Fall,Master,美国,4.0,3.75
CSE@Harvard,Reject,2024,Fall,Master,美国,4.0,3.98
CSE@Harvard,Reject,2024,Fall,Master,美国,100,93.5
CSE@Harvard,Reject,2024,Fall,Master,美国,100,92.0
CSE@Harvard,Reject,2024,Fall,Master,美国,100,91.82
CSE@Harvard,Reject,2024,Fall,Master,美国,100,91.11
CSE@Harvard,Admit,2024,Fall,Master,美国,4.0,3.95
CSE@Harvard,Reject,2023,Fall,Master,美国,4.0,3.96
CSE@Harvard,Reject,2023,Fall,Master,美国,4.0,3.94
CSE@Harvard,Reject,2023,Fall,Master,美国,4.0,3.88
CSE@Harvard,Reject,2023,Fall,Master,美国,4.3,3.96
CSE@Harvard,Reject,2023,Fall,Master,美国,4.3,4.1
CSE@Harvard,Reject,2023,Fall,Master,美国,4.0,3.8
CSE@Harvard,Reject,2023,Fall,Master,美国,4.0,3.8
CSE@Harvard,Admit,2023,Fall,Master,美国,100,94.48
CSE@Harvard,Admit,2023,Fall,Master,美国,4.0,4.0
CSE@MIT,Reject,2023,Fall,Master,美国,4.0,4.0
Cybersecurity@NYU Tandon,Admit,2023,Fall,Master,美国,100,91.67
DS@Columbia,Reject,2023,Fall,Master,美国,4.0,3.87
DS@Harvard,Reject,2024,Fall,Master,美国,100,94.25
DS@Harvard,Reject,2024,Fall,Master,美国,4.0,3.92
DS@Harvard,Reject,2024,Fall,Master,美国,4.3,3.7
DS@Harvard,Admit,2024,Fall,Master,美国,4.0,3.99
DS@Harvard,Reject,2023,Fall,Master,美国,4.0,3.92
DS@Harvard,Reject,2023,Fall,Master,美国,4.0,3.97
DS@Harvard,Reject,2023,Fall,Master,美国,4.3,3.94
DS@NYU,Reject,2024,Fall,Master,美国,4.0,3.87
DS@NYU,Admit,2024,Fall,Master,美国,4.0,3.75
DS@NYU,Admit,2023,Fall,Master,美国,4.0,3.96
DS@NYU,Reject,2023,Fall,Master,美国,100,87.0
DS@UMich,Admit,2024,Fall,Master,美国,4.0,3.82
DS@UMich,Reject,2024,Fall,Master,美国,4.0,3.87
DS@UMich,Admit,2023,Fall,Master,美国,4.0,3.87
DS@UMich,Admit,2023,Fall,Master,美国,100,87.0
DS@UPenn,Reject,2024,Fall,Master,美国,100,94.25
DS@UPenn,Reject,2023,Fall,Master,美国,4.3,3.94
DS75@UCSD,Reject,2024,Fall,Master,美国,4.0,3.82
DS75@UCSD,Reject,2024,Fall,Master,美国,5.0,4.33
DS75@UCSD,Reject,2024,Fall,Master,美国,4.0,3.21
DS75@UCSD,Admit,2024,Fall,Master,美国,100,87.0
DS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.87
DS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.87
DS75@UCSD,Admit,2023,Fall,Master,美国,100,87.0
EC79@UCSD,Admit,2024,Fall,Master,美国,4.0,3.96
EC79@UCSD,Admit,2024,Fall,Master,美国,100,93.5
EC79@UCSD,Admit,2024,Fall,Master,美国,5.0,4.82
EC79@UCSD,Admit,2024,Fall,Master,美国,4.0,3.77
EC79@UCSD,Admit,2024,Fall,Master,美国,100,86.5
EC79@UCSD,Reject,2023,Fall,Master,美国,100,92.3
EC79@UCSD,Admit,2023,Fall,Master,美国,4.0,3.95
EC79@UCSD,Admit,2023,Fall,Master,美国,100,86.5
EC79@UCSD,Admit,2023,Fall,Master,美国,4.3,3.55
EC79@UCSD,Reject,2023,Fall,Master,美国,100,89.7
EC79@UCSD,Reject,2023,Fall,Master,美国,4.0,3.7
EC79@UCSD,Reject,2023,Fall,Master,美国,4.0,3.3
EC79@UCSD,Reject,2023,Fall,Master,美国,4.0,3.74
EC79@UCSD,Reject,2023,Fall,Master,美国,100,90.9
EC79@UCSD,Admit,2023,Fall,Master,美国,4.3,3.75
EC79@UCSD,Admit,2022,Fall,Master,美国,100,88.42
EC93@UCSD,Admit,2024,Fall,Master,美国,4.0,3.69
EC93@UCSD,Admit,2024,Fall,Master,美国,4.0,3.75
EC93@UCSD,Admit,2023,Fall,Master,美国,100,87.0
ECE MEng@Cornell,Admit,2024,Fall,Master,美国,100,89.1
ECE MEng@Cornell,Admit,2023,Fall,Master,美国,4.0,3.96
ECE MEng@Cornell,Reject,2023,Fall,Master,美国,4.0,3.85
ECE MEng@Cornell,Reject,2023,Fall,Master,美国,100,92.3
ECE MEng@Cornell,Admit,2023,Fall,Master,美国,4.0,3.98
ECE MEng@Cornell,Reject,2022,Fall,Master,美国,100,90.11
ECE Meng@UIUC,Reject,2024,Fall,Master,美国,4.0,3.83
ECE Meng@UIUC,Admit,2024,Fall,Master,美国,4.0,3.92
ECE Meng@UIUC,Reject,2024,Fall,Master,美国,100,89.1
