项目,结果,学年,学期,学位,国家,分数制,GPA
ECE Meng@UVic,Admit,2024,Fall,Master,加拿大,100,87.0
ECE Meng@Waterloo,Admit,2024,Fall,Master,加拿大,5.0,4.7
ECE Meng@Waterloo,Admit,2024,Fall,Master,加拿大,4.0,3.21
ECE Meng@Waterloo,Admit,2024,Fall,Master,加拿大,4.0,3.85
ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,4.0,3.92
ECE Meng@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.7
ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,4.0,3.94
ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,100,88.0
ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,100,88.0
ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,英制100,71.0
ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,4.0,3.73
ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,100,86.5
ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,100,86.5
ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,100,90.52
ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,4.3,3.55
ECE Meng@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.3
ECE-MASc@UBC,Reject,2023,Fall,Master,加拿大,4.0,3.68
ECE-MASc@UBC,Admit,2023,Fall,Master,加拿大,4.0,3.73
MCS@uOttawa,Reject,2024,Fall,Master,加拿大,5.0,4.7
MCS@uOttawa,Reject,2023,Fall,Master,加拿大,4.0,3.3
MEng S&T@McMaster,Admit,2023,Fall,Master,加拿大,100,87.6
MINT@UAlberta,Admit,2023,Fall,Master,加拿大,100,87.6
MSc CS@McGill,Reject,2023,Fall,Master,加拿大,4.0,3.68
MSc CS@McGill,Admit,2023,Fall,Master,加拿大,4.0,4.0
MSc CS@McGill,Reject,2022,Fall,Master,加拿大,100,88.42
MSc CS@McMaster,Admit,2023,Fall,Master,加拿大,其他,3.46
MScAc@UofT,Reject,2024,Fall,Master,加拿大,4.0,3.89
MScAc@UofT,Reject,2024,Fall,Master,加拿大,4.3,3.7
MScAc@UofT,Reject,2024,Fall,Master,加拿大,4.0,3.92
MScAc@UofT,Reject,2024,Fall,Master,加拿大,4.3,3.7
MScAc@UofT,默拒,2024,Fall,Master,加拿大,100,92.0
MScAc@UofT,Admit,2024,Fall,Master,加拿大,100,93.5
MScAc@UofT,Reject,2023,Fall,Master,加拿大,4.0,3.74
MScAc@UofT,Admit,2023,Fall,Master,加拿大,100,86.5
MScAc@UofT,Reject,2023,Fall,Master,加拿大,4.0,3.7
MScAc@UofT,Admit,2023,Fall,Master,加拿大,4.0,3.92
MScAc@UofT,Admit,2022,Fall,Master,加拿大,100,88.42
MSCS@UBC,默拒,2024,Fall,Master,加拿大,100,92.0
MSCS@UBC,Admit,2023,Fall,Master,加拿大,100,93.0
SYDE@Waterloo,Admit,2023,Fall,Master,加拿大,4.0,3.37
SYDE@Waterloo,Admit,2023,Fall,Master,加拿大,100,87.6
SYDE@Waterloo,Admit,2023,Fall,Master,加拿大,4.0,3.3
Visual Computing@SFU,Admit,2024,Fall,Master,加拿大,4.0,3.6
Visual Computing@SFU,Admit,2024,Fall,Master,加拿大,4.0,3.21
