index,项目,结果,学年,学期,学位,国家,分数制,GPA
50,CM@Cornell Tech,Admit,2024,Fall,Master,美国,100,91.82
51,CM@Cornell Tech,Admit,2023,Fall,Master,美国,4.0,3.78
52,CM@Cornell Tech,Admit,2023,Fall,Master,美国,4.3,3.94
53,CM@Cornell Tech,Reject,2023,Fall,Master,美国,4.0,3.3
54,CS General@NEU,Admit,2024,Fall,Master,美国,100,93.5
55,CS General@NEU,Admit,2024,Fall,Master,美国,100,85.14
56,CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.92
57,CS General@NEU,Admit,2024,Fall,Master,美国,100,89.1
58,CS General@NEU,Admit,2024,Fall,Master,美国,100,84.96
59,CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.81
60,CS General@NEU,Admit,2024,Fall,Master,美国,100,85.97
61,CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.5
62,CS General@NEU,Admit,2024,Fall,Master,美国,5.0,4.33
63,CS General@NEU,Admit,2024,Fall,Master,美国,100,90.6
64,CS General@NEU,Admit,2024,Fall,Master,美国,100,86.3
65,CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.5
66,CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.6
67,CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.89
68,CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.97
69,CS General@NEU,Reject,2024,Fall,Master,美国,4.0,3.29
70,CS General@NEU,Reject,2024,Fall,Master,美国,5.0,4.7
71,CS General@NEU,Admit,2023,Fall,Master,美国,4.3,3.55
72,CS General@NEU,Reject,2023,Fall,Master,美国,4.0,3.37
73,CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.8
74,CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.69
75,CS General@NEU,Admit,2023,Fall,Master,美国,100,90.9
76,CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.48
77,CS General@NEU,Admit,2023,Fall,Master,美国,4.3,3.97
78,CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.84
79,CS General@NEU,Admit,2023,Fall,Master,美国,100,88.8
80,CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.9
81,CS General@NEU,Admit,2023,Fall,Master,美国,4.3,3.41
82,CS General@NEU,Reject,2023,Fall,Master,美国,4.3,3.55
83,CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.1
84,CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.73
85,CS General@NEU,Admit,2023,Fall,Master,美国,5.0,4.55
86,CS General@NEU,Reject,2023,Fall,Master,美国,100,86.99
87,CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.95
88,CS General@NEU,Admit,2023,Fall,Master,美国,100,86.5
89,CS General@NEU,Reject,2023,Fall,Master,美国,100,88.0
90,CS General@NEU,Admit,2023,Fall,Master,美国,100,92.91
91,CS General@NEU,Admit,2023,Fall,Master,美国,100,90.52
92,CS General@NEU,Withdraw,2023,Fall,Master,美国,100,86.5
93,CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.3
94,CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.74
95,CS General@NEU,Admit,2022,Fall,Master,美国,100,90.11
96,CS General@NEU,Admit,2022,Fall,Master,美国,100,88.42
97,CS General@NEU,Reject,2022,Fall,Master,美国,100,89.28
98,CS Meng@Cornell,Reject,2024,Fall,Master,美国,4.3,3.7
99,CS Meng@Cornell,Admit,2024,Fall,Master,美国,100,91.82
100,CS Meng@Cornell,Admit,2024,Fall,Master,美国,4.0,3.93
101,CS Meng@Cornell,Admit,2024,Fall,Master,美国,4.0,3.97
102,CS Meng@Cornell,Reject,2023,Fall,Master,美国,4.3,4.09
103,CS Meng@Cornell,Reject,2023,Fall,Master,美国,4.0,3.8
104,CS Meng@Cornell,Reject,2023,Fall,Master,美国,4.0,3.94
105,CS Meng@Cornell Tech,Admit,2024,Fall,Master,美国,4.0,3.93
106,CS Meng@Cornell Tech,Waitlist,2024,Fall,Master,美国,4.0,3.83
107,CS Meng@Cornell Tech,Admit,2023,Fall,Master,美国,4.0,3.8
108,CS Meng@Cornell Tech,Admit,2023,Fall,Master,美国,4.0,3.94
109,CS Meng@Cornell Tech,Waitlist,2023,Fall,Master,美国,4.0,3.97
110,CS Meng@Cornell Tech,Admit,2023,Fall,Master,美国,100,94.48
111,CS Meng@Cornell Tech,Reject,2023,Fall,Master,美国,100,91.18
112,CS Meng@Cornell Tech,Reject,2023,Fall,Master,美国,4.0,3.88
113,CS Meng@Cornell Tech,Reject,2022,Fall,Master,美国,100,90.11
114,CS MEng@McMaster,Admit,2024,Fall,Master,加拿大,4.0,3.21
115,CS MEng@McMaster,Admit,2024,Fall,Master,加拿大,4.0,3.85
116,CS Meng@VT,Admit,2023,Fall,Master,美国,4.0,3.3
117,CS Meng@VT,Admit,2023,Fall,Master,美国,4.3,3.41
118,CS Meng@VT,Admit,2023,Fall,Master,美国,4.0,3.1
119,CS PhD@Brown,Reject,2024,Fall,PhD,美国,100,90.1
120,CS PhD@Brown,Admit,2023,Fall,PhD,美国,4.0,3.82
121,CS PhD@Columbia,Reject,2023,Fall,PhD,美国,4.0,3.86
122,CS PhD@Cornell,Reject,2024,Fall,PhD,美国,4.3,3.69
123,CS PhD@Cornell,Reject,2023,Fall,PhD,美国,4.0,3.86
124,CS PhD@Cornell,Admit,2023,Fall,PhD,美国,4.0,3.88
125,CS PhD@Dartmouth,Waitlist,2023,Fall,PhD,美国,100,86.3
126,CS PhD@JHU,Reject,2024,Fall,PhD,美国,100,90.1
127,CS PhD@NCSU,Admit,2023,Fall,PhD,美国,4.0,3.12
128,CS PhD@Notre Dame,Admit,2023,Fall,PhD,美国,100,91.63
129,CS PhD@NWU,Reject,2024,Fall,PhD,美国,100,90.1
130,CS PhD@NWU,Admit,2023,Fall,PhD,美国,4.0,3.61
131,CS PhD@NYU Courant,Admit,2023,Fall,PhD,美国,100,88.42
132,CS PhD@Purdue,Admit,2024,Fall,PhD,美国,4.3,3.69
133,CS PhD@Rice,Reject,2024,Fall,PhD,美国,100,90.1
134,CS PhD@Rice,Reject,2023,Fall,PhD,美国,4.0,3.68
135,CS PhD@Rice,Admit,2023,Fall,PhD,美国,100,91.63
136,CS PhD@Rochester,Admit,2023,Fall,PhD,美国,100,91.63
137,CS PhD@Rutgers,Admit,2024,Fall,PhD,美国,100,85.0
138,CS PhD@Stanford,Reject,2023,Fall,PhD,美国,4.0,3.86
139,CS PhD@TAMU,Admit,2023,Fall,PhD,美国,100,91.63
140,CS PhD@UChicago,Reject,2024,Fall,PhD,美国,100,90.1
141,CS PhD@UCI,Admit,2023,Fall,PhD,美国,4.0,3.86
142,CS PhD@UCI,Admit,2023,Fall,PhD,美国,4.0,3.68
143,CS PhD@UCR,默拒,2024,Fall,PhD,美国,4.0,3.82
144,CS PhD@UCR,Admit,2023,Fall,PhD,美国,4.0,3.66
145,CS PhD@UCSB,Admit,2024,Fall,PhD,美国,4.3,3.69
146,CS PhD@UCSB,Withdraw,2023,Fall,PhD,美国,100,88.42
147,CS PhD@UCSC,Reject,2024,Fall,PhD,美国,100,90.1
148,CS PhD@UCSD,Admit,2023,Fall,PhD,美国,4.0,4.0
149,CS PhD@UCSD,Admit,2023,Fall,PhD,美国,4.0,3.88
150,CS PhD@UIUC,默拒,2024,Fall,PhD,美国,4.3,3.69
151,CS PhD@UMich,Reject,2024,Fall,PhD,美国,4.3,3.69
152,CS PhD@UNC,Admit,2023,Fall,PhD,美国,4.0,3.7
153,CS PhD@UofT,Admit,2024,Fall,PhD,加拿大,4.3,3.69
154,CS PhD@USC,Reject,2024,Fall,PhD,美国,4.0,3.88
155,CS PhD@UVA,Admit,2023,Fall,PhD,美国,4.0,3.68
156,CS PhD@UW,Reject,2023,Fall,PhD,美国,100,88.42
157,CS PhD@Waterloo,Admit,2023,Fall,PhD,加拿大,4.0,3.68
158,CS PhD@Waterloo,Reject,2023,Fall,PhD,加拿大,100,91.63
159,CS PhD@Waterloo,Admit,2023,Fall,PhD,加拿大,100,90.67
160,CS PhD@Waterloo,Admit,2022,Fall,PhD,加拿大,100,88.42
161,CS PhD@Wisc,Reject,2023,Fall,PhD,美国,100,91.63
162,CS PhD@WUSTL,Reject,2023,Fall,PhD,美国,4.0,3.7
163,CS PhD@Yale,Reject,2023,Fall,PhD,美国,100,91.63
164,CS-PMP@Wisc,Reject,2024,Fall,Master,美国,100,94.25
165,CS-PMP@Wisc,Reject,2024,Fall,Master,美国,4.0,3.94
166,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,100,86.5
167,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,5.0,4.43
168,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,100,87.0
169,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.83
170,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,100,88.8
171,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.85
172,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.85
173,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.92
174,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,100,87.5
175,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.37
176,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.92
177,CS-PMP@Wisc,Admit,2023,Fall,Master,美国,4.0,3.73
178,CS-PMP@Wisc,Admit,2023,Fall,Master,美国,100,91.63
179,CS-PMP@Wisc,Admit,2023,Fall,Master,美国,4.0,3.95
180,CS-PMP@Wisc,Reject,2023,Fall,Master,美国,100,88.8
181,CS28@USC,Admit,2025,Spring,Master,美国,4.0,3.89
182,CS28@USC,默拒,2024,Fall,Master,美国,4.0,3.75
183,CS28@USC,Withdraw,2024,Fall,Master,美国,4.0,3.94
184,CS28@USC,默拒,2024,Fall,Master,美国,4.0,3.7
185,CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.83
186,CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.92
187,CS28@USC,Admit,2024,Fall,Master,美国,100,91.08
188,CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.82
189,CS28@USC,Admit,2024,Fall,Master,美国,100,89.1
190,CS28@USC,Reject,2024,Fall,Master,美国,5.0,4.33
191,CS28@USC,Reject,2024,Fall,Master,美国,100,90.6
192,CS28@USC,Reject,2024,Fall,Master,美国,4.0,3.5
193,CS28@USC,Admit,2024,Fall,Master,美国,100,85.14
194,CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.69
195,CS28@USC,Admit,2024,Fall,Master,美国,100,90.5
196,CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.85
197,CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.97
198,CS28@USC,Admit,2024,Fall,Master,美国,100,91.11
199,CS28@USC,Admit,2024,Spring,Master,美国,4.0,3.69
200,CS28@USC,Admit,2024,Spring,Master,美国,4.0,3.8
201,CS28@USC,Admit,2024,Spring,Master,美国,4.0,3.84
202,CS28@USC,Admit,2024,Spring,Master,美国,100,87.5
203,CS28@USC,Admit,2024,Spring,Master,美国,4.0,3.74
204,CS28@USC,Admit,2024,Spring,Master,美国,英制100,74.0
205,CS28@USC,Reject,2023,Fall,Master,美国,5.0,4.43
206,CS28@USC,Reject,2023,Fall,Master,美国,4.0,3.95
207,CS28@USC,Reject,2023,Fall,Master,美国,4.3,3.41
208,CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.94
209,CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.92
210,CS28@USC,Reject,2023,Fall,Master,美国,4.0,3.85
211,CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.95
212,CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.92
213,CS28@USC,Admit,2023,Fall,Master,美国,100,88.0
214,CS28@USC,Admit,2023,Fall,Master,美国,其他,27.89
215,CS28@USC,Admit,2023,Fall,Master,美国,100,86.5
216,CS28@USC,Admit,2023,Fall,Master,美国,4.3,4.1
217,CS28@USC,Admit,2023,Fall,Master,美国,100,91.63
218,CS28@USC,Reject,2023,Fall,Master,美国,4.0,3.98
219,CS28@USC,Admit,2023,Fall,Master,美国,4.3,3.55
220,CS28@USC,Admit,2023,Fall,Master,美国,100,92.3
221,CS28@USC,Admit,2023,Fall,Master,美国,100,88.0
222,CS28@USC,Admit,2023,Fall,Master,美国,100,90.3
223,CS28@USC,Admit,2023,Fall,Master,美国,100,89.7
224,CS28@USC,Admit,2023,Fall,Master,美国,100,94.48
225,CS28@USC,Admit,2023,Fall,Master,美国,100,91.61
226,CS28@USC,Admit,2023,Fall,Master,美国,100,92.4
227,CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.9
228,CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.9
229,CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.92
230,CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.96
231,CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.83
232,CS28@USC,Admit,2023,Fall,Master,美国,100,90.9
233,CS28@USC,Reject,2023,Fall,Master,美国,4.0,3.7
234,CS28@USC,Admit,2023,Fall,Master,美国,4.3,3.75
235,CS28@USC,Reject,2022,Fall,Master,美国,100,90.11
236,CS32 (Artificial Intelligence)@USC,Reject,2024,Fall,Master,美国,100,90.1
237,CS32 (Artificial Intelligence)@USC,Admit,2024,Fall,Master,美国,4.0,3.82
238,CS32 (Artificial Intelligence)@USC,Admit,2024,Fall,Master,美国,100,89.1
239,CS32 (Artificial Intelligence)@USC,Admit,2024,Fall,Master,美国,4.0,3.88
240,CS32 (Networks)@USC,Reject,2024,Fall,Master,美国,100,84.96
241,CS32 (Networks)@USC,Admit,2024,Spring,Master,美国,100,87.5
242,CS32 (Networks)@USC,Reject,2023,Fall,Master,美国,4.0,3.85
243,CS37@USC,Admit,2024,Fall,Master,美国,4.0,3.89
244,CS37@USC,Admit,2024,Spring,Master,美国,4.0,3.92
245,CS37@USC,Admit,2024,Spring,Master,美国,100,87.5
246,CS37@USC,默拒,2023,Fall,Master,美国,4.0,3.87
247,CS37@USC,Admit,2023,Fall,Master,美国,5.0,4.55
248,CS37@USC,Admit,2023,Fall,Master,美国,4.0,3.5
249,CS37@USC,Admit,2023,Fall,Master,美国,4.0,3.98
250,CS37@USC,Admit,2023,Fall,Master,美国,4.3,3.96
251,CS37@USC,Admit,2023,Fall,Master,美国,100,88.0
252,CS37@USC,Admit,2023,Fall,Master,美国,4.0,3.83
253,CS37@USC,Admit,2023,Fall,Master,美国,4.0,3.7
254,CS37@USC,Admit,2023,Fall,Master,美国,100,87.0
255,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.75
256,CS75@UCSD,Reject,2024,Fall,Master,美国,4.3,3.7
257,CS75@UCSD,Reject,2024,Fall,Master,美国,100,90.5
258,CS75@UCSD,Admit,2024,Fall,Master,美国,100,91.7
259,CS75@UCSD,Reject,2024,Fall,Master,美国,100,94.25
260,CS75@UCSD,Reject,2024,Fall,Master,美国,100,85.14
261,CS75@UCSD,Reject,2024,Fall,Master,美国,4.3,3.7
262,CS75@UCSD,Reject,2024,Fall,Master,美国,100,89.1
263,CS75@UCSD,Reject,2024,Fall,Master,美国,100,90.1
264,CS75@UCSD,Reject,2024,Fall,Master,美国,4.0,3.81
265,CS75@UCSD,Reject,2024,Fall,Master,美国,4.0,3.94
266,CS75@UCSD,Reject,2024,Fall,Master,美国,100,91.11
267,CS75@UCSD,默拒,2024,Fall,Master,美国,100,90.28
268,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.7
269,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.87
270,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.83
271,CS75@UCSD,Admit,2024,Fall,Master,美国,100,92.0
272,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.97
273,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.97
274,CS75@UCSD,Admit,2024,Fall,Master,美国,4.3,4.05
275,CS75@UCSD,Admit,2024,Fall,Master,美国,100,91.82
276,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.92
277,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.88
278,CS75@UCSD,Admit,2024,Fall,Master,美国,100,90.7
279,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.93
280,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.77
281,CS75@UCSD,Admit,2024,Fall,Master,美国,100,91.0
282,CS75@UCSD,Admit,2024,Fall,Master,美国,100,90.5
283,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.98
284,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.92
285,CS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.89
286,CS75@UCSD,默拒,2024,Fall,Master,美国,100,91.08
287,CS75@UCSD,Reject,2023,Fall,Master,美国,5.0,4.43
288,CS75@UCSD,Reject,2023,Fall,Master,美国,4.3,4.1
289,CS75@UCSD,Reject,2023,Fall,Master,美国,100,90.9
290,CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.48
291,CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.92
292,CS75@UCSD,Reject,2023,Fall,Master,美国,100,86.74
293,CS75@UCSD,Reject,2023,Fall,Master,美国,100,92.3
294,CS75@UCSD,Reject,2023,Fall,Master,美国,5.0,4.55
295,CS75@UCSD,Reject,2023,Fall,Master,美国,4.3,3.94
296,CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.95
297,CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.5
298,CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.86
299,CS75@UCSD,Reject,2023,Fall,Master,美国,100,90.52
300,CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.8
301,CS75@UCSD,Reject,2023,Fall,Master,美国,4.3,3.55
302,CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.85
303,CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.74
304,CS75@UCSD,Reject,2023,Fall,Master,美国,100,91.61
305,CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.9
306,CS75@UCSD,Reject,2023,Fall,Master,美国,4.0,3.69
307,CS75@UCSD,Admit,2023,Fall,Master,美国,100,90.3
308,CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.8
309,CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.84
310,CS75@UCSD,Admit,2023,Fall,Master,美国,100,89.61
311,CS75@UCSD,Admit,2023,Fall,Master,美国,100,94.48
312,CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.96
313,CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.95
314,CS75@UCSD,Admit,2023,Fall,Master,美国,100,84.0
315,CS75@UCSD,Admit,2023,Fall,Master,美国,4.3,4.09
316,CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,4.0
317,CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.9
318,CS75@UCSD,Admit,2023,Fall,Master,美国,100,88.0
319,CS75@UCSD,Admit,2023,Fall,Master,美国,5.0,4.57
320,CS75@UCSD,Admit,2023,Fall,Master,美国,100,86.5
321,CS75@UCSD,Admit,2023,Fall,Master,美国,5.0,4.41
322,CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.91
323,CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.92
324,CS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.97
325,CS75@UCSD,Reject,2023,Fall,Master,美国,100,87.0
326,CS75@UCSD,Reject,2022,Fall,Master,美国,100,90.11
327,CS75@UCSD,Reject,2022,Fall,Master,美国,100,88.42
328,CS75@UCSD,Reject,2022,Fall,Master,美国,100,89.28
330,CS76@UCSD,Reject,2023,Fall,Master,美国,4.0,3.83
331,CS76@UCSD,Reject,2023,Fall,Master,美国,4.0,3.92
332,CS76@UCSD,Reject,2023,Fall,Master,美国,4.0,3.33
333,CS76@UCSD,Reject,2023,Fall,Master,美国,4.0,3.75
334,CSE@GaTech,Reject,2024,Fall,Master,美国,5.0,4.33
335,CSE@GaTech,Reject,2024,Fall,Master,美国,4.0,3.96
336,CSE@GaTech,Reject,2024,Fall,Master,美国,4.0,3.94
337,CSE@GaTech,Admit,2024,Fall,Master,美国,100,94.25
338,CSE@GaTech,Reject,2024,Fall,Master,美国,100,85.14
339,CSE@GaTech,Reject,2024,Fall,Master,美国,100,90.6
340,CSE@GaTech,Reject,2024,Fall,Master,美国,4.0,3.82
341,CSE@GaTech,Reject,2024,Fall,Master,美国,4.0,3.92
342,CSE@GaTech,Admit,2024,Fall,Master,美国,100,87.0
343,CSE@GaTech,Admit,2024,Fall,Master,美国,4.0,3.81
344,CSE@GaTech,Admit,2023,Fall,Master,美国,100,86.74
345,CSE@GaTech,Reject,2023,Fall,Master,美国,4.0,3.85
346,CSE@GaTech,Reject,2023,Fall,Master,美国,4.0,3.83
347,CSE@GaTech,Admit,2023,Fall,Master,美国,100,86.5
348,CSE@GaTech,Reject,2023,Fall,Master,美国,4.3,3.55
349,CSE@GaTech,Reject,2023,Fall,Master,美国,100,88.0
350,CSE@GaTech,Reject,2023,Fall,Master,美国,4.0,3.5
351,CSE@GaTech,Reject,2023,Fall,Master,美国,4.0,3.92
352,CSE@GaTech,Reject,2023,Fall,Master,美国,5.0,4.55
353,CSE@GaTech,Admit,2023,Fall,Master,美国,4.0,3.3
354,CSE@GaTech,Admit,2023,Fall,Master,美国,4.3,3.75
355,CSE@GaTech,Admit,2023,Fall,Master,美国,4.3,3.83
356,CSE@GaTech,Admit,2023,Fall,Master,美国,4.0,3.8
357,CSE@GaTech,Admit,2023,Fall,Master,美国,4.3,3.75
358,CSE@GaTech,Reject,2023,Fall,Master,美国,100,87.0
359,CSE@GaTech,Reject,2022,Fall,Master,美国,100,90.11
360,CSE@GaTech,Reject,2022,Fall,Master,美国,100,88.42
361,CSE@Harvard,Reject,2024,Fall,Master,美国,4.0,3.75
362,CSE@Harvard,Reject,2024,Fall,Master,美国,4.0,3.98
363,CSE@Harvard,Reject,2024,Fall,Master,美国,100,93.5
364,CSE@Harvard,Reject,2024,Fall,Master,美国,100,92.0
365,CSE@Harvard,Reject,2024,Fall,Master,美国,100,91.82
366,CSE@Harvard,Reject,2024,Fall,Master,美国,100,91.11
367,CSE@Harvard,Admit,2024,Fall,Master,美国,4.0,3.95
368,CSE@Harvard,Reject,2023,Fall,Master,美国,4.0,3.96
369,CSE@Harvard,Reject,2023,Fall,Master,美国,4.0,3.94
370,CSE@Harvard,Reject,2023,Fall,Master,美国,4.0,3.88
371,CSE@Harvard,Reject,2023,Fall,Master,美国,4.3,3.96
372,CSE@Harvard,Reject,2023,Fall,Master,美国,4.3,4.1
373,CSE@Harvard,Reject,2023,Fall,Master,美国,4.0,3.8
374,CSE@Harvard,Reject,2023,Fall,Master,美国,4.0,3.8
375,CSE@Harvard,Admit,2023,Fall,Master,美国,100,94.48
376,CSE@Harvard,Admit,2023,Fall,Master,美国,4.0,4.0
377,CSE@MIT,Reject,2023,Fall,Master,美国,4.0,4.0
378,Cyber Security@ETH,Admit,2024,Fall,Master,瑞士,100,90.28
379,Cyber Security@ETH,Admit,2023,Fall,Master,瑞士,100,91.61
380,Cybersecurity@NYU Tandon,Admit,2023,Fall,Master,美国,100,91.67
381,Cybersecurity@SFU,Admit,2023,Fall,Master,加拿大,4.0,3.95
382,Cybersecurity@SFU,Admit,2023,Fall,Master,加拿大,100,86.5
383,Cybersecurity@SFU,Admit,2023,Fall,Master,加拿大,100,91.67
384,DS@Columbia,Reject,2023,Fall,Master,美国,4.0,3.87
385,DS@Harvard,Reject,2024,Fall,Master,美国,100,94.25
386,DS@Harvard,Reject,2024,Fall,Master,美国,4.0,3.92
387,DS@Harvard,Reject,2024,Fall,Master,美国,4.3,3.7
388,DS@Harvard,Admit,2024,Fall,Master,美国,4.0,3.99
